month_year,year,month,in_visits_fr,in_holiday,in_total,in_total_visitors,in_ratio,out_visits_fr,out_holiday,out_total,out_total_visitors,ratio
Jun-2023,2023,Jun,200990,217640,542080,418630,0.7722660861865407,192230,426400,729540,618630,0.8479726951229541
Jul-2023,2023,Jul,184060,253770,625120,437830,0.7003935244433069,256080,611450,995580,867530,0.8713815062576589
Aug-2023,2023,Aug,198430,267700,603360,466130,0.7725570140546274,232810,514060,858540,746870,0.8699303468679386
Sep-2023,2023,Sep,205360,239530,584620,444890,0.7609900448154356,225020,583820,939060,808840,0.8613294145209038
Oct-2023,2023,Oct,203690,252630,607930,456320,0.7506127350188344,275010,642700,1061340,917710,0.8646710761867074
Nov-2023,2023,Nov,236280,278460,663760,514740,0.7754911413764011,215280,468200,820760,683480,0.8327403869584288
Dec-2023,2023,Dec,407450,357880,876860,765330,0.8728075177337318,215000,401790,739600,616790,0.8339507842076799
Jan-2024,2024,Jan,186650,262700,603770,449350,0.7442403564271163,485020,793070,1392890,1278090,0.9175814314123872
Feb-2024,2024,Feb,242720,391080,857950,633800,0.7387376886764963,256140,393930,775630,650070,0.8381186906127922
Mar-2024,2024,Mar,274720,334530,761050,609250,0.8005387293870311,205740,424790,767110,630530,0.8219551302942212
Apr-2024,2024,Apr,199380,256830,593090,456210,0.7692087204302889,262480,571880,964310,834360,0.8652404309817382
May-2024,2024,May,197920,258760,600780,456680,0.7601451446452945,198960,476390,807920,675350,0.835911971482325
Jun-2024,2024,Jun,203340,250020,587760,453360,0.7713352388730094,206570,527630,863950,734200,0.8498176977834365
Jul-2024,2024,Jul,191260,284280,658970,475540,0.7216413493785756,289300,723300,1146340,1012600,0.8833330425528203
Aug-2024,2024,Aug,202390,310320,658810,512710,0.7782365173570529,244780,551590,916890,796370,0.8685556609844147
Sep-2024,2024,Sep,208900,264550,630700,473450,0.7506738544474394,232160,646210,1020960,878370,0.8603373295721674
Oct-2024,2024,Oct,220890,299070,677410,519960,0.7675705997844732,284360,753560,1184900,1037920,0.8759557768588067
Nov-2024,2024,Nov,243440,296590,695360,540030,0.7766193051081455,225360,558790,931990,784150,0.8413716885374306
Dec-2024,2024,Dec,438280,399190,945280,837470,0.8859491367637102,234300,475670,823000,709970,0.8626609963547995
Jan-2025,2025,Jan,208860,348220,710040,557080,0.7845755168722889,523040,902910,1544890,1425950,0.9230106997909236
Feb-2025,2025,Feb,226360,315680,787770,542040,0.688068852583876,321010,465230,923360,786240,0.8514988736787386
Mar-2025,2025,Mar,254700,336060,761230,590760,0.776059797958567,212230,478110,840080,690340,0.8217550709456243
Apr-2025,2025,Apr,240910,261850,641150,502760,0.7841534742260001,262270,656280,1044530,918550,0.8793907307592889
May-2025,2025,May,205500,260010,611180,465510,0.7616577767597107,239550,585070,970060,824620,0.8500711296208482
Jun-2025,2025,Jun,206880,277830,624510,484710,0.7761444972858721,221980,554310,914080,776290,0.8492582706108874
Jul-2025,2025,Jul,213660,330610,743210,544270,0.7323233002785215,290760,778500,1205170,1069260,0.8872275280665798
